species_raw
Abeillia abeillei
Ailuroedus geislerorum
Ailuroedus maculosus
Ailuroedus melanotis
Ailuroedus stonii
Aimophila notosticta
Aimophila rufescens
Aimophila ruficeps
Aix galericulata
Aix sponsa
Akletos goeldii
Akletos melanoceps
Alaemon alaudipes
Alaemon hamertoni
Alauda arvensis
Alauda gulgula
Alauda leucoptera
Alauda razae
Alaudala cheleensis
Alaudala heinei
Alaudala raytal
Alaudala rufescens
Alaudala somalica
Alca torda
Alcedo atthis
Alcedo coerulescens
Alcedo euryzona
Alcedo hercules
Alcedo meninting
Alcedo peninsulae
Alcedo quadribrachys
Alcedo semitorquata
Alcippe brunneicauda
Alcippe davidi
Alcippe fratercula
Alcippe grotei
Alcippe hueti
Alcippe morrisonia
Alcippe nipalensis
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Alcurus striatus
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris magna
Alectoris melanocephala
Alectoris philbyi
Alectoris rufa
Alectroenas madagascariensis
Alectroenas pulcherrimus
Alectroenas sganzini
Alectrurus risora
Alectrurus tricolor
Alectura lathami
Alethe castanea
Alethe diademata
Alipiopsitta xanthops
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Alle alle
Allenia fusca
Alophoixus bres
Alophoixus flaveolus
Alophoixus frater
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alophoixus ruficrissus
Alophoixus tephrogenys
Alopochelidon fucata
Alopochen aegyptiaca
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amandava amandava
Amandava formosa
Amandava subflava
Amaurolimnas concolor
Amaurornis isabellina
Amaurornis magnirostris
Amaurornis moluccana
Amaurornis olivacea
Amaurornis phoenicurus
Amaurospiza aequatorialis
Amaurospiza carrizalensis
Amaurospiza concolor
Amaurospiza moesta
Amazilia luciae
Amazilia rutila
Amazilia tzacatl
Amazilia yucatanensis
Amazilis amazilia
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona brasiliensis
Amazona collaria
Amazona diadema
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona lilacina
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazonetta brasiliensis
Amblycercus holosericeus
Amblyornis flavifrons
Amblyornis inornata
Amblyornis macgregoriae
Amblyornis subalaris
Amblyospiza albifrons
Amblyramphus holosericeus
Amirafra angolensis
Amirafra collaris
Amirafra rufocinnamomea
Ammodramus aurifrons
Ammodramus humeralis
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammomanopsis grayi
Ammonastes pelzelni
Ammoperdix griseogularis
Ammoperdix heyi
Ammospiza caudacuta
Ammospiza leconteii
Ammospiza maritima
Ammospiza nelsoni
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Amphispiza bilineata
Amphispizopsis quinquestriata
Amytornis ballarae
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis merrotsyi
Amytornis modestus
Amytornis oweni
Amytornis purnelli
Amytornis rowleyi
Amytornis striatus
Amytornis textilis
Amytornis whitei
Amytornis woodwardi
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis hartlaubii
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes jubaensis
Anaplectes rubriceps
Anarhynchus alexandrinus
Anarhynchus alticola
Anarhynchus asiaticus
Anarhynchus atrifrons
Anarhynchus bicinctus
Anarhynchus collaris
Anarhynchus dealbatus
Anarhynchus falklandicus
Anarhynchus frontalis
Anarhynchus javanicus
Anarhynchus leschenaultii
Anarhynchus marginatus
Anarhynchus mongolus
Anarhynchus montanus
Anarhynchus nivosus
Anarhynchus obscurus
Anarhynchus pallidus
Anarhynchus pecuarius
Anarhynchus peronii
Anarhynchus ruficapillus
Anarhynchus sanctaehelenae
Anarhynchus thoracicus
Anarhynchus veredus
Anarhynchus wilsonia
Anas acuta
Anas albogularis
Anas andium
Anas aucklandica
Anas bahamensis
Anas bernieri
Anas capensis
Anas castanea
Anas chlorotis
Anas crecca
Anas diazi
Anas eatoni
Anas erythrorhyncha
Anas flavirostris
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas laysanensis
Anas luzonica
Anas melleri
Anas nesiotis
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas sparsa
Anas superciliosa
Anas undulata
Anas wyvilliana
Anas zonorhyncha
Anastomus lamelligerus
Anastomus oscitans
Ancistrops strigilatus
Andigena cucullata
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Androdon aequatorialis
Andropadus importunus
Androphobus viridis
Anhima cornuta
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anhinga rufa
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus melanogenys
Anisognathus notabilis
Anisognathus somptuosus
Anodorhynchus glaucus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anomalospiza imberbis
Anopetia gounellei
Anorrhinus austeni
Anorrhinus galeritus
Anorrhinus tickelli
Anous albivitta
Anous ceruleus
Anous minutus
Anous stolidus
Anous tenuirostris
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anser serrirostris
Anseranas semipalmata
Anthipes monileger
Anthipes solitaris
Anthobaphes violacea
Anthocephala berlepschi
Anthocephala floriceps
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthochaera phrygia
Anthornis melanura
Anthoscopus caroli
Anthoscopus flavifrons
Anthoscopus minutus
Anthoscopus musculus
Anthoscopus parvulus
Anthoscopus punctifrons
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Anthracothorax aurulentus
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Anthreptes anchietae
Anthreptes aurantius
Anthreptes gabonicus
Anthreptes griseigularis
Anthreptes longuemarei
Anthreptes malacensis
Anthreptes neglectus
Anthreptes orientalis
Anthreptes rectirostris
Anthreptes reichenowi
Anthreptes rhodolaemus
Anthreptes rubritorques
Anthreptes seimundi
Anthreptes simplex
Anthreptes tephrolaemus
Anthus antarcticus
Anthus australis
Anthus berthelotii
Anthus bogotensis
Anthus brachyurus
Anthus brevirostris
Anthus caffer
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus chii
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus gutturalis
Anthus hellmayri
Anthus hodgsoni
Anthus hoeschi
Anthus japonicus
Anthus leucophrys
Anthus lineiventris
Anthus melindae
Anthus nattereri
Anthus nicholsoni
Anthus nilghiriensis
Anthus novaeseelandiae
Anthus nyassae
Anthus pallidiventris
Anthus peruvianus
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus ruficollis
Anthus rufulus
Anthus similis
Anthus sokokensis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Anthus vaalensis
Antigone antigone
Antigone canadensis
Antigone rubicunda
Antigone vipio
Antiurus maculicaudus
Antrostomus arizonae
Antrostomus badius
Antrostomus carolinensis
Antrostomus cubanensis
Antrostomus ekmani
Antrostomus noctitherus
Antrostomus ridgwayi
Antrostomus rufus
Antrostomus salvini
Antrostomus saturatus
Antrostomus sericocaudatus
Antrostomus vociferus
Anumara forbesi
Anumbius annumbi
Anurolimnas castaneiceps
Apalharpactes mackloti
Apalharpactes reinwardtii
Apalis alticola
Apalis argentea
Apalis bamendae
Apalis binotata
Apalis chapini
Apalis chariessa
Apalis chirindensis
Apalis cinerea
Apalis flavida
Apalis flavigularis
Apalis fuscigularis
Apalis goslingi
Apalis jacksoni
Apalis kaboboensis
Apalis karamojae
Apalis lynesi
Apalis melanocephala
Apalis nigriceps
Apalis personata
Apalis porphyrolaema
Apalis ruddi
Apalis rufogularis
Apalis sharpii
Apalis stronachi
Apalis thoracica
Apaloderma aequatoriale
Apaloderma narina
Apaloderma vittatum
Apalopteron familiare
Aphanotriccus audax
Aphanotriccus capitalis
Aphelocephala leucopsis
Aphelocephala nigricincta
Aphelocephala pectoralis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma insularis
Aphelocoma ultramarina
Aphelocoma unicolor
Aphelocoma wollweberi
Aphelocoma woodhouseii
Aphrastura masafuerae
Aphrastura spinicauda
Aphrodroma brevirostris
Aplonis atrifusca
Aplonis brunneicapillus
Aplonis cantoroides
Aplonis cinerascens
Aplonis crassa
Aplonis dichroa
Aplonis feadensis
Aplonis grandis
Aplonis insularis
Aplonis magna
Aplonis metallica
Aplonis minor
Aplonis mysolensis
Aplonis mystacea
Aplonis opaca
Aplonis panayensis
Aplonis pelzelni
Aplonis santovestris
Aplonis striata
Aplonis tabuensis
Aplonis zelandica
Aplopelia larvata
Aprositornis disjuncta
Aprosmictus erythropterus
Aprosmictus jonquillaceus
Aptenodytes forsteri
Aptenodytes patagonicus
Apteryx australis
Apteryx mantelli
Apteryx maxima
Apteryx owenii
Apteryx rowi
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus horus
Apus niansae
Apus nipalensis
Apus pacificus
Apus pallidus
Apus unicolor
Aquila adalberti
Aquila africana
Aquila audax
Aquila chrysaetos
Aquila fasciata
Aquila gurneyi
Aquila heliaca
Aquila nipalensis
Aquila rapax
Aquila spilogaster
Aquila verreauxii
Ara ambiguus
Ara ararauna
Ara chloropterus
Ara glaucogularis
Ara macao
Ara militaris
Ara rubrogenys
Ara severus
Arachnothera affinis
Arachnothera chrysogenys
Arachnothera clarae
Arachnothera crassirostris
Arachnothera dilutior
Arachnothera everetti
Arachnothera flammifera
Arachnothera flavigaster
Arachnothera juliae
Arachnothera longirostra
Arachnothera magna
Arachnothera modesta
Arachnothera robusta
Aramides albiventris
Aramides axillaris
Aramides cajaneus
Aramides calopterus
Aramides mangle
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramidopsis plateni
Aramus guarauna
Aratinga auricapillus
Aratinga jandaya
Aratinga maculata
Aratinga nenday
Aratinga solstitialis
Aratinga weddellii
Arborophila ardens
Arborophila atrogularis
Arborophila brunneopectus
Arborophila cambodiana
Arborophila campbelli
Arborophila crudigularis
Arborophila davidi
Arborophila gingica
Arborophila hyperythra
Arborophila javanica
Arborophila mandellii
Arborophila orientalis
Arborophila rolli
Arborophila rubrirostris
Arborophila rufipectus
Arborophila rufogularis
Arborophila sumatrana
Arborophila torqueola
Arcanator orostruthus
Archboldia papuensis
Archilochus alexandri
Archilochus colubris
Ardea alba
Ardea brachyrhyncha
Ardea cinerea
Ardea cocoi
Ardea coromanda
Ardea goliath
Ardea herodias
Ardea humbloti
Ardea ibis
Ardea insignis
Ardea intermedia
Ardea melanocephala
Ardea pacifica
Ardea plumifera
Ardea purpurea
Ardea sumatrana
Ardenna bulleri
Ardenna carneipes
Ardenna creatopus
Ardenna gravis
Ardenna grisea
Ardenna pacifica
Ardenna tenuirostris
Ardeola bacchus
Ardeola grayii
Ardeola idae
Ardeola ralloides
Ardeola rufiventris
Ardeola speciosa
Ardeotis arabs
Ardeotis australis
Ardeotis kori
Ardeotis nigriceps
Arenaria interpres
Arenaria melanocephala
Argusianus argus
Argya affinis
Argya altirostris
Argya aylmeri
Argya caudata
Argya cinereifrons
Argya earlei
Argya fulva
Argya gularis
Argya huttoni
Argya longirostris
Argya malcolmi
Argya rubiginosa
Argya rufescens
Argya squamiceps
Argya striata
Argya subrufa
Arizelocichla chlorigula
Arizelocichla fusciceps
Arizelocichla kikuyuensis
Arizelocichla masukuensis
Arizelocichla milanjensis
Arizelocichla montana
Arizelocichla neumanni
Arizelocichla nigriceps
Arizelocichla striifacies
Arizelocichla tephrolaema
Arizelopsar femoralis
Arremon abeillei
Arremon assimilis
Arremon atricapillus
Arremon aurantiirostris
Arremon axillaris
Arremon basilicus
Arremon brunneinucha
Arremon castaneiceps
Arremon costaricensis
Arremon crassirostris
Arremon dorbignii
Arremon flavirostris
Arremon franciscanus
Arremon nigriceps
Arremon perijanus
Arremon phaeopleurus
Arremon phygas
Arremon schlegeli
Arremon semitorquatus
Arremon taciturnus
Arremon torquatus
Arremon virenticeps
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses insularis
Arses kaupi
Arses lorealis
Arses telescopthalmus
Artamella viridis
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
Artamus insignis
Artamus leucorynchus
Artamus maximus
Artamus mentalis
Artamus minor
Artamus monachus
Artamus personatus
Artamus superciliosus
Artemisiospiza belli
Artemisiospiza nevadensis
Artisornis metopias
Artisornis moreaui
Artomyias fuliginosa
Artomyias ussheri
Arundinax aedon
Arundinicola leucocephala
Asarcornis scutulata
Asemospiza fuliginosa
Asemospiza obscura
Ashbyia lovensis
Asio abyssinicus
Asio capensis
Asio clamator
Asio flammeus
Asio grammicus
Asio madagascariensis
Asio otus
Asio solomonensis
Asio stygius
Aspatha gularis
Asthenes anthoides
Asthenes arequipae
Asthenes ayacuchensis
Asthenes baeri
Asthenes berlepschi
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes huancavelicae
Asthenes hudsoni
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes urubambensis
Asthenes vilcabambae
Asthenes virgata
Asthenes wyatti
Astrapia mayeri
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Astur atricapillus
Astur bicolor
Astur chilensis
Astur cooperii
Astur gentilis
Astur gundlachi
Astur henstii
Astur melanoleucus
Astur meyerianus
Atalotriccus pilaris
Atelornis crossleyi
Atelornis pittoides
Athene blewitti
Athene brama
Athene cunicularia
Athene granti
Athene jacquinoti
Athene malaitae
Athene noctua
Athene roseoaxillaris
Athene superciliaris
Atimastillas flavicollis
Atimastillas flavigula
Atlapetes albiceps
Atlapetes albinucha
Atlapetes albofrenatus
Atlapetes blancae
Atlapetes canigenis
Atlapetes citrinellus
Atlapetes crassus
Atlapetes flaviceps
Atlapetes forbesi
Atlapetes fulviceps
Atlapetes fuscoolivaceus
Atlapetes latinuchus
Atlapetes leucopis
Atlapetes leucopterus
Atlapetes luteoviridis
Atlapetes melanocephalus
Atlapetes melanolaemus
Atlapetes melanopsis
Atlapetes nationi
Atlapetes nigrifrons
Atlapetes pallidiceps
Atlapetes pallidinucha
Atlapetes personatus
Atlapetes pileatus
Atlapetes rufigenis
Atlapetes rufinucha
Atlapetes schistaceus
Atlapetes seebohmi
Atlapetes semirufus
Atlapetes taczanowskii
Atlapetes terborghi
Atlapetes tibialis
Atlapetes tricolor
Atrichornis clamosus
Atrichornis rufescens
Atronanus fuliginosus
Attagis gayi
Attagis malouinus
Atticora fasciata
Atticora pileata
Atticora tibialis
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Augastes lumachella
Augastes scutatus
Aulacorhynchus albivitta
Aulacorhynchus coeruleicinctis
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus huallagae
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Aulacorhynchus whitelianus
Auriparus flaviceps
Automolus cervinigularis
Automolus exsertus
Automolus infuscatus
Automolus lammi
Automolus leucophthalmus
Automolus melanopezus
Automolus ochrolaemus
Automolus paraensis
Automolus rufipileatus
Automolus subulatus
Automolus virgatus
Aviceda cuculoides
Aviceda jerdoni
Aviceda leuphotes
Aviceda madagascariensis
Aviceda subcristata
Avocettula recurvirostris
Aythya affinis
Aythya americana
Aythya australis
Aythya baeri
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya innotata
Aythya marila
Aythya novaeseelandiae
Aythya nyroca
Aythya valisineria
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus wollweberi
Baeopogon clamans
Baeopogon indicator
Balaeniceps rex
Balearica pavonina
Balearica regulorum
Bambusicola fytchii
Bambusicola sonorivox
Bambusicola thoracicus
Bangsia arcaei
Bangsia aureocincta
Bangsia edwardsi
Bangsia flavovirens
Bangsia melanochlamys
Bangsia rothschildi
Barnardius zonarius
Bartramia longicauda
Baryphthengus martii
Baryphthengus ruficapillus
Basileuterus belli
Basileuterus culicivorus
Basileuterus delattrii
Basileuterus ignotus
Basileuterus melanogenys
Basileuterus melanotis
Basileuterus punctipectus
Basileuterus rufifrons
Basileuterus tacarcunae
Basileuterus trifasciatus
Basileuterus tristriatus
Basilinna leucotis
Basilinna xantusii
Basilornis celebensis
Basilornis corythaix
Basilornis galeatus
Batara cinerea
Bathmocercus cerviniventris
Bathmocercus rufus
Batis capensis
Batis crypta
Batis dimorpha
Batis diops
Batis erlangeri
Batis fratrum
Batis ituriensis
Batis margaritae
Batis minima
Batis minor
Batis minulla
Batis mixta
Batis molitor
Batis occulta
Batis orientalis
Batis perkeo
Batis poensis
Batis pririt
Batis senegalensis
Batis soror
Batrachostomus affinis
Batrachostomus auritus
Batrachostomus chaseni
Batrachostomus cornutus
Batrachostomus harterti
Batrachostomus hodgsoni
Batrachostomus javensis
Batrachostomus mixtus
Batrachostomus moniliger
Batrachostomus poliolophus
Batrachostomus septimus
Batrachostomus stellatus
Berenicornis comatus
Berlepschia rikeri
Bernieria madagascariensis
Bias musicus
Biatas nigropectus
Biziura lobata
Bleda canicapillus
Bleda eximius
Bleda notatus
Bleda syndactylus
Bleda ugandae
Blythipicus pyrrhotis
Blythipicus rubiginosus
Bocagia minuta
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Bolbopsittacus lunulatus
Bolborhynchus ferrugineifrons
Bolborhynchus lineola
Bolborhynchus orbygnesius
Bolemoreus frenatus
Bolemoreus hindwoodi
Bombycilla cedrorum
Bombycilla garrulus
Bombycilla japonica
Bonasa umbellus
Bostrychia bocagei
Bostrychia carunculata
Bostrychia hagedash
Bostrychia olivacea
Bostrychia rara
Botaurus cinnamomeus
Botaurus dubius
Botaurus eurhythmus
Botaurus exilis
Botaurus flavicollis
Botaurus involucris
Botaurus lentiginosus
Botaurus minutus
Botaurus pinnatus
Botaurus poiciloptilus
Botaurus sinensis
Botaurus stellaris
Botaurus sturmii
Brachycope anomala
Brachygalba albogularis
Brachygalba goeringi
Brachygalba lugubris
Brachygalba salmoni
Brachypteracias leptosomus
Brachypteryx cruralis
Brachypteryx erythrogyna
Brachypteryx floris
Brachypteryx goodfellowi
Brachypteryx hyperythra
Brachypteryx leucophris
Brachypteryx montana
Brachypteryx poliogyna
Brachypteryx saturata
Brachypteryx sinensis
Brachyramphus brevirostris
Brachyramphus marmoratus
Brachyramphus perdix
Bradornis comitatus
Bradornis mariquensis
Bradornis microrhynchus
Bradypterus baboecala
Bradypterus bangwaensis
Bradypterus barratti
Bradypterus brunneus
Bradypterus carpalis
Bradypterus centralis
Bradypterus cinnamomeus
Bradypterus grandis
Bradypterus graueri
Bradypterus lopezi
Bradypterus seebohmi
Bradypterus sylvaticus
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta ruficollis
Branta sandvicensis
Brotogeris chiriri
Brotogeris chrysoptera
Brotogeris cyanoptera
Brotogeris jugularis
Brotogeris pyrrhoptera
Brotogeris sanctithomae
Brotogeris tirica
Brotogeris versicolurus
Brunhilda charmosyna
Brunhilda erythronotos
Bubalornis albirostris
Bubalornis niger
Bubo africanus
Bubo ascalaphus
Bubo bengalensis
Bubo bubo
Bubo capensis
Bubo cinerascens
Bubo magellanicus
Bubo milesi
Bubo scandiacus
Bubo virginianus
Bucanetes githagineus
Bucanetes mongolicus
Buccanodon duchaillui
Bucco capensis
Bucco macrodactylus
Bucco noanamae
Bucco tamatia
Bucephala albeola
Bucephala clangula
Bucephala islandica
Buceros bicornis
Buceros hydrocorax
Buceros rhinoceros
Bucorvus abyssinicus
Bucorvus leadbeateri
Bulweria bulwerii
Bulweria fallax
Buphagus africanus
Buphagus erythroryncha
Burhinus capensis
Burhinus grallarius
Burhinus indicus
Burhinus oedicnemus
Burhinus senegalensis
Burhinus vermiculatus
Busarellus nigricollis
Butastur indicus
Butastur liventer
Butastur rufipennis
Butastur teesa
Buteo albigula
Buteo albonotatus
Buteo augur
Buteo auguralis
Buteo brachypterus
Buteo brachyurus
Buteo buteo
Buteo galapagoensis
Buteo hemilasius
Buteo jamaicensis
Buteo japonicus
Buteo lagopus
Buteo lineatus
Buteo nitidus
Buteo oreophilus
Buteo plagiatus
Buteo platypterus
Buteo refectus
Buteo regalis
Buteo ridgwayi
Buteo rufinus
Buteo rufofuscus
Buteo socotraensis
Buteo solitarius
Buteo swainsoni
Buteo trizonatus
Buteo ventralis
Buteogallus aequinoctialis
Buteogallus anthracinus
Buteogallus coronatus
Buteogallus gundlachii
Buteogallus lacernulatus
Buteogallus meridionalis
Buteogallus schistaceus
Buteogallus solitarius
Buteogallus urubitinga
Buthraupis montana
Butorides atricapilla
Butorides striata
Butorides sundevalli
Butorides virescens
Bycanistes albotibialis
